,DBN,School Name,BN,Number of Students_K_G&T,Number of Classes_K_G&T,Average Class Size_K_G&T,Minimum Class Size_K_G&T,Maximum Class Size_K_G&T,Number of Students_K_ICT,Number of Classes_K_ICT,Average Class Size_K_ICT,Minimum Class Size_K_ICT,Maximum Class Size_K_ICT,Number of Students_K_Gen Ed,Number of Classes_K_Gen Ed,Average Class Size_K_Gen Ed,Minimum Class Size_K_Gen Ed,Maximum Class Size_K_Gen Ed,Number of Students_K_ICT & G&T,Number of Classes_K_ICT & G&T,Average Class Size_K_ICT & G&T,Minimum Class Size_K_ICT & G&T,Maximum Class Size_K_ICT & G&T,Number of Students_1_G&T,Number of Classes_1_G&T,Average Class Size_1_G&T,Minimum Class Size_1_G&T,Maximum Class Size_1_G&T,Number of Students_1_ICT,Number of Classes_1_ICT,Average Class Size_1_ICT,Minimum Class Size_1_ICT,Maximum Class Size_1_ICT,Number of Students_1_Gen Ed,Number of Classes_1_Gen Ed,Average Class Size_1_Gen Ed,Minimum Class Size_1_Gen Ed,Maximum Class Size_1_Gen Ed,Number of Students_1_ICT & G&T,Number of Classes_1_ICT & G&T,Average Class Size_1_ICT & G&T,Minimum Class Size_1_ICT & G&T,Maximum Class Size_1_ICT & G&T,Number of Students_2_G&T,Number of Classes_2_G&T,Average Class Size_2_G&T,Minimum Class Size_2_G&T,Maximum Class Size_2_G&T,Number of Students_2_ICT,Number of Classes_2_ICT,Average Class Size_2_ICT,Minimum Class Size_2_ICT,Maximum Class Size_2_ICT,Number of Students_2_Gen Ed,Number of Classes_2_Gen Ed,Average Class Size_2_Gen Ed,Minimum Class Size_2_Gen Ed,Maximum Class Size_2_Gen Ed,Number of Students_2_ICT & G&T,Number of Classes_2_ICT & G&T,Average Class Size_2_ICT & G&T,Minimum Class Size_2_ICT & G&T,Maximum Class Size_2_ICT & G&T,Number of Students_3_G&T,Number of Classes_3_G&T,Average Class Size_3_G&T,Minimum Class Size_3_G&T,Maximum Class Size_3_G&T,Number of Students_3_ICT,Number of Classes_3_ICT,Average Class Size_3_ICT,Minimum Class Size_3_ICT,Maximum Class Size_3_ICT,Number of Students_3_Gen Ed,Number of Classes_3_Gen Ed,Average Class Size_3_Gen Ed,Minimum Class Size_3_Gen Ed,Maximum Class Size_3_Gen Ed,Number of Students_3_ICT & G&T,Number of Classes_3_ICT & G&T,Average Class Size_3_ICT & G&T,Minimum Class Size_3_ICT & G&T,Maximum Class Size_3_ICT & G&T,Number of Students_4_G&T,Number of Classes_4_G&T,Average Class Size_4_G&T,Minimum Class Size_4_G&T,Maximum Class Size_4_G&T,Number of Students_4_ICT,Number of Classes_4_ICT,Average Class Size_4_ICT,Minimum Class Size_4_ICT,Maximum Class Size_4_ICT,Number of Students_4_Gen Ed,Number of Classes_4_Gen Ed,Average Class Size_4_Gen Ed,Minimum Class Size_4_Gen Ed,Maximum Class Size_4_Gen Ed,Number of Students_4_ICT & G&T,Number of Classes_4_ICT & G&T,Average Class Size_4_ICT & G&T,Minimum Class Size_4_ICT & G&T,Maximum Class Size_4_ICT & G&T,Number of Students_5_G&T,Number of Classes_5_G&T,Average Class Size_5_G&T,Minimum Class Size_5_G&T,Maximum Class Size_5_G&T,Number of Students_5_ICT,Number of Classes_5_ICT,Average Class Size_5_ICT,Minimum Class Size_5_ICT,Maximum Class Size_5_ICT,Number of Students_5_Gen Ed,Number of Classes_5_Gen Ed,Average Class Size_5_Gen Ed,Minimum Class Size_5_Gen Ed,Maximum Class Size_5_Gen Ed,Number of Students_5_ICT & G&T,Number of Classes_5_ICT & G&T,Average Class Size_5_ICT & G&T,Minimum Class Size_5_ICT & G&T,Maximum Class Size_5_ICT & G&T,Number of Students_6_ICT,Number of Classes_6_ICT,Average Class Size_6_ICT,Minimum Class Size_6_ICT,Maximum Class Size_6_ICT,Number of Students_6_Gen Ed,Number of Classes_6_Gen Ed,Average Class Size_6_Gen Ed,Minimum Class Size_6_Gen Ed,Maximum Class Size_6_Gen Ed,Number of Students_7_ICT,Number of Classes_7_ICT,Average Class Size_7_ICT,Minimum Class Size_7_ICT,Maximum Class Size_7_ICT,Number of Students_7_Gen Ed,Number of Classes_7_Gen Ed,Average Class Size_7_Gen Ed,Minimum Class Size_7_Gen Ed,Maximum Class Size_7_Gen Ed,Number of Students_8_ICT,Number of Classes_8_ICT,Average Class Size_8_ICT,Minimum Class Size_8_ICT,Maximum Class Size_8_ICT,Number of Students_8_Gen Ed,Number of Classes_8_Gen Ed,Average Class Size_8_Gen Ed,Minimum Class Size_8_Gen Ed,Maximum Class Size_8_Gen Ed,Number of Students_K-8 SC_SC 12:1:1,Number of Classes_K-8 SC_SC 12:1:1,Average Class Size_K-8 SC_SC 12:1:1,Minimum Class Size_K-8 SC_SC 12:1:1,Maximum Class Size_K-8 SC_SC 12:1:1,Number of Students_K-8 SC_SC 12:1,Number of Classes_K-8 SC_SC 12:1,Average Class Size_K-8 SC_SC 12:1,Minimum Class Size_K-8 SC_SC 12:1,Maximum Class Size_K-8 SC_SC 12:1,Number of Students_K-8 SC_SC 6:1:1,Number of Classes_K-8 SC_SC 6:1:1,Average Class Size_K-8 SC_SC 6:1:1,Minimum Class Size_K-8 SC_SC 6:1:1,Maximum Class Size_K-8 SC_SC 6:1:1,Number of Students_K-8 SC_SC 8:1:1,Number of Classes_K-8 SC_SC 8:1:1,Average Class Size_K-8 SC_SC 8:1:1,Minimum Class Size_K-8 SC_SC 8:1:1,Maximum Class Size_K-8 SC_SC 8:1:1,Number of Students_K-8 SC_SC 15:1,Number of Classes_K-8 SC_SC 15:1,Average Class Size_K-8 SC_SC 15:1,Minimum Class Size_K-8 SC_SC 15:1,Maximum Class Size_K-8 SC_SC 15:1
0,01M015,PS 015 ROBERTO CLEMENTE,M015,8,1,8,<15,<15,20,1,20,20,20,,,,,,,,,,,11,1,11,<15,<15,21,1,21,21,21,,,,,,,,,,,15,1,15,15,15,18,1,18,18,18,,,,,,,,,,,10,1,10,<15,<15,13,1,13,<15,<15,,,,,,,,,,,9,1,9,<15,<15,22,1,22,22,22,,,,,,,,,,,,,,,,26,1,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,01M019,PS 019 ASHER LEVY,M019,,,,,,20,2,10,<15,<15,12,1,12,<15,<15,,,,,,,,,,,20,2,10,<15,<15,12,1,12,<15,<15,,,,,,,,,,,26,2,13,<15,<15,12,1,12,<15,<15,,,,,,,,,,,44,3,14.66666,<15,17,,,,,,,,,,,,,,,,14,1,14,<15,<15,23,1,23,23,23,,,,,,,,,,,16,1,16,16,16,22,1,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,11.5,11,12,,,,,,,,,,,,,,,,,,,,
2,01M020,PS 020 ANNA SILVER,M020,,,,,,22,1,22,22,22,47,3,15.66666,<15,21,,,,,,,,,,,23,1,23,23,23,48,3,16,15,17,,,,,,,,,,,17,1,17,17,17,47,3,15.66666,<15,23,,,,,,,,,,,25,1,25,25,25,54,3,18,15,24,,,,,,,,,,,55,2,27.5,25,30,20,1,20,20,20,,,,,,,,,,,21,1,21,21,21,41,2,20.5,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3,12.33333,11,13,,,,,,,,,,,,,,,,,,,,
3,01M034,PS 034 FRANKLIN D ROOSEVELT,M034,,,,,,25,1,25,25,25,,,,,,,,,,,,,,,,18,1,18,18,18,,,,,,,,,,,,,,,,22,1,22,22,22,,,,,,,,,,,,,,,,22,1,22,22,22,25,1,25,25,25,,,,,,,,,,,19,1,19,19,19,16,1,16,16,16,,,,,,,,,,,17,1,17,17,17,19,1,19,19,19,,,,,,19,1,19,19,19,19,1,19,19,19,40,2,20,18,22,,,,,,36,2,18,18,18,22,1,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,
4,01M063,THE STAR ACADEMY - PS63,M063,,,,,,21,1,21,21,21,19,1,19,19,19,,,,,,,,,,,20,1,20,20,20,,,,,,,,,,,,,,,,26,1,26,26,26,,,,,,,,,,,,,,,,22,1,22,22,22,,,,,,,,,,,,,,,,23,1,23,23,23,,,,,,,,,,,,,,,,27,1,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01M064,PS 064 ROBERT SIMON,M064,,,,,,15,1,15,15,15,12,1,12,<15,<15,,,,,,,,,,,25,1,25,25,25,19,1,19,19,19,,,,,,,,,,,21,1,21,21,21,16,1,16,16,16,,,,,,,,,,,30,1,30,30,30,,,,,,,,,,,,,,,,26,1,26,26,26,,,,,,,,,,,,,,,,28,1,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,01M110,PS 110 FLORENCE NIGHTINGALE,M110,17,1,17,17,17,25,1,25,25,25,22,1,22,22,22,,,,,,25,1,25,25,25,27,1,27,27,27,,,,,,,,,,,30,1,30,30,30,25,1,25,25,25,,,,,,,,,,,28,1,28,28,28,16,1,16,16,16,,,,,,,,,,,28,1,28,28,28,25,1,25,25,25,,,,,,,,,,,46,2,23,22,24,24,1,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,11,11,11,,,,,,,,,,,,,,,,,,,,
7,01M134,PS 134 HENRIETTA SZOLD,M134,,,,,,18,1,18,18,18,18,1,18,18,18,,,,,,,,,,,13,1,13,<15,<15,11,1,11,<15,<15,,,,,,,,,,,21,1,21,21,21,20,1,20,20,20,,,,,,,,,,,23,1,23,23,23,22,1,22,22,22,,,,,,,,,,,47,2,23.5,22,25,,,,,,,,,,,,,,,,53,2,26.5,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3,10.33333,9,12,,,,,,,,,,,,,,,,,,,,
8,01M140,PS 140 NATHAN STRAUS,M140,,,,,,13,1,13,<15,<15,13,1,13,<15,<15,,,,,,,,,,,,,,,,25,1,25,25,25,,,,,,,,,,,,,,,,23,1,23,23,23,,,,,,,,,,,,,,,,16,1,16,16,16,,,,,,,,,,,,,,,,25,1,25,25,25,,,,,,,,,,,,,,,,22,1,22,22,22,,,,,,28,1,28,28,28,24,1,24,24,24,56,2,28,28,28,,,,,,30,1,30,30,30,29,1,29,29,29,46,5,9.2,6,12,,,,,,,,,,,,,,,,,,,,
9,01M142,PS 142 AMALIA CASTRO,M142,,,,,,43,2,21.5,21,22,21,1,21,21,21,,,,,,,,,,,24,1,24,24,24,24,1,24,24,24,,,,,,,,,,,23,1,23,23,23,21,1,21,21,21,,,,,,,,,,,40,2,20,19,21,,,,,,,,,,,,,,,,43,2,21.5,20,23,,,,,,,,,,,,,,,,19,1,19,19,19,17,1,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3,11,9,12,,,,,,,,,,,,,,,,,,,,
10,01M184,PS 184M SHUANG WEN,M184,,,,,,24,1,24,24,24,48,2,24,24,24,,,,,,,,,,,23,1,23,23,23,46,2,23,22,24,,,,,,,,,,,55,2,27.5,27,28,,,,,,,,,,,,,,,,22,1,22,22,22,49,2,24.5,24,25,,,,,,,,,,,26,1,26,26,26,39,2,19.5,19,20,,,,,,,,,,,26,1,26,26,26,27,1,27,27,27,,,,,,46,2,23,23,23,48,2,24,22,26,57,2,28.5,28,29,26,1,26,26,26,58,2,29,29,29,29,1,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,
11,01M188,PS 188 THE ISLAND SCHOOL,M188,,,,,,21,1,21,21,21,16,1,16,16,16,,,,,,,,,,,21,1,21,21,21,19,1,19,19,19,,,,,,,,,,,22,1,22,22,22,21,1,21,21,21,,,,,,,,,,,23,1,23,23,23,20,1,20,20,20,,,,,,,,,,,20,1,20,20,20,23,1,23,23,23,,,,,,,,,,,19,1,19,19,19,20,1,20,20,20,,,,,,21,1,21,21,21,18,1,18,18,18,22,1,22,22,22,25,1,25,25,25,27,1,27,27,27,27,1,27,27,27,18,1,18,>15,>15,,,,,,,,,,,,,,,,,,,,
12,01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",M301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2,16,16,16,,,,,,23,1,23,23,23,,,,,,50,2,25,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,01M315,THE EAST VILLAGE COMMUNITY SCHOOL,M315,,,,,,25,1,25,25,25,21,1,21,21,21,,,,,,,,,,,25,1,25,25,25,25,1,25,25,25,,,,,,,,,,,26,1,26,26,26,24,1,24,24,24,,,,,,,,,,,48,2,24,23,25,,,,,,,,,,,,,,,,19,1,19,19,19,21,1,21,21,21,,,,,,,,,,,48,2,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
