,BNLONG,MaxYear_x,MaxYear_y,Percentage,MaxYear
0,M635,163,163,1.0,2013
1,K027,153,153,1.0,2011
2,K332,140,140,1.0,2014
3,Q225,140,140,1.0,2011
4,X156,139,139,1.0,2008
5,X220,139,139,1.0,2008
6,M690,138,138,1.0,2010
7,K072,136,136,1.0,2011
8,X245,136,136,1.0,2013
9,M429,135,135,1.0,2014
10,M101,135,135,1.0,2010
11,K336,135,135,1.0,2012
12,K183,135,135,1.0,2008
13,K260,127,127,1.0,2014
14,X102,127,127,1.0,2014
15,X686,126,126,1.0,2008
16,X660,124,124,1.0,2015
17,K304,123,123,1.0,2008
18,K022,123,123,1.0,2014
19,Q030,123,123,1.0,2014
20,X198,122,122,1.0,2012
21,Q215,122,122,1.0,2015
22,M620,121,121,1.0,2014
23,K645,121,121,1.0,2011
24,K530,121,121,1.0,2014
25,M460,121,121,1.0,2015
26,K625,121,121,1.0,2014
27,X415,121,121,1.0,2014
28,K509,121,121,1.0,2013
29,K631,121,121,1.0,2015
30,K420,121,121,1.0,2012
31,X475,121,121,1.0,2014
32,Q470,121,121,1.0,2014
33,Q465,121,121,1.0,2011
34,Q410,121,121,1.0,2014
35,X655,121,121,1.0,2015
36,M440,121,121,1.0,2012
37,K500,121,121,1.0,2011
38,X680,121,121,1.0,2011
39,M470,121,121,1.0,2012
40,X650,121,121,1.0,2015
41,X690,121,121,1.0,2014
42,X262,120,120,1.0,2014
43,X239,120,120,1.0,2014
44,Q198,120,120,1.0,2006
45,X295,120,120,1.0,2015
46,K544,120,120,1.0,2014
47,M283,120,120,1.0,2015
48,X540,120,120,1.0,2014
49,X541,120,120,1.0,2014
50,K019,120,120,1.0,2015
51,X330,119,119,1.0,2001
52,X079,119,119,1.0,2011
53,M196,119,119,1.0,2004
54,R014,119,119,1.0,2015
55,X002,118,118,1.0,2012
56,K515,118,118,1.0,2010
57,M695,118,118,1.0,2010
58,K415,118,118,1.0,2010
59,K400,118,118,1.0,2010
60,X166,117,117,1.0,2011
61,X174,117,117,1.0,2008
62,X192,117,117,1.0,2008
63,X430,117,117,1.0,2008
64,X450,117,117,1.0,2008
65,X201,117,117,1.0,2008
66,M317,116,116,1.0,2011
67,X490,116,116,1.0,2015
68,M117,115,115,1.0,2010
69,M911,115,115,1.0,2007
70,M176,114,114,1.0,2004
71,X425,114,114,1.0,2008
72,X216,114,114,1.0,2010
73,K302,114,114,1.0,2015
74,X197,114,114,1.0,2010
75,X142,114,114,1.0,2015
76,M109,113,113,1.0,2004
77,Q231,113,113,1.0,2013
78,X607,113,113,1.0,2005
79,K252,113,113,1.0,2008
80,K296,113,113,1.0,2014
81,K258,113,113,1.0,2008
82,M585,112,112,1.0,2007
83,K232,112,112,1.0,2008
84,K117,112,112,1.0,2008
85,X135,112,112,1.0,2008
