,index,MasterIndex,DBN,SCHNAM,Latitude,Longitude,Borough
0,0,0,00M801,HUNTER SCHOOL,Missing,Missing,Manhattan
1,3,6,01M022,GUSTAVE STRAUBENMULLER,40.7191048,-73.9800253,Manhattan
2,4,7,01M025,MARTA VALLE,Missing,Missing,Manhattan
3,5,9,01M056,CORLEARS - JHS #56,Missing,Missing,Manhattan
4,6,10,01M060,OTTILIA M. BEHA,Missing,Missing,Manhattan
5,7,11,01M061,ANNA HOWARD SHAW,Missing,Missing,Manhattan
6,8,14,01M097,THE MANGIN SCHOOL,40.7153936,-73.977278,Manhattan
7,9,20,01M196,COALITION UMBRELLA SCHOOL,Missing,Missing,Manhattan
8,10,29,02M017,MS 017,Missing,Missing,Manhattan
9,11,30,02M026,P.S. 26,Missing,Missing,Manhattan
10,12,37,02M070,O. HENRY SCHOOL,Missing,Missing,Manhattan
11,13,49,02M190,PAUL REVERE SCHOOL,Missing,Missing,Manhattan
12,14,63,02M445,SEWARD PARK HIGH SCHOOL,40.7172511,-73.9894777,Manhattan
13,15,73,02M535,PARK WEST HIGH SCHOOL,40.7658333,-73.9944444,Manhattan
14,16,85,03M044,WILLIAM J. O'SHEA  I.S. #44,Missing,Missing,Manhattan
15,17,91,03M088,WADLEIGH  - M.S. #88,Missing,Missing,Manhattan
16,18,92,03M113,RUTH WHITEHEAD WHALEY,Missing,Missing,Manhattan
17,19,93,03M118,JOAN OF ARC J.H.S. #118,Missing,Missing,Manhattan
18,20,94,03M144,HANS CHRISTIAN ANDERSON,Missing,Missing,Manhattan
19,21,104,03M207,NORBERT RILLIEUX,Missing,Missing,Manhattan
20,22,109,03M490,"MARTIN LUTHER KING, JR",Missing,Missing,Manhattan
21,23,119,04M099,JULIA DEBURGOS SCHOOL,Missing,Missing,Manhattan
22,24,120,04M101,ANDREW DRAPER ACADEMY,Missing,Missing,Manhattan
23,25,123,04M109,HOSTOS ACADEMY AT JHS99M,Missing,Missing,Manhattan
24,26,125,04M117,TITO PUENTE EDUC. COMPLEX,Missing,Missing,Manhattan
25,27,126,04M121,ROBERTO CLEMENTE SCHOOL,Missing,Missing,Manhattan
26,28,135,05M010,FREDERICK DOUGLAS ACADEMY,Missing,Missing,Manhattan
27,29,138,05M043,ADAM CLAYTON POWELL JR ACAD 43,Missing,Missing,Manhattan
28,30,152,05M275,HENRY HIGHLAND GARNET IS #275,Missing,Missing,Manhattan
29,31,161,06M090,MIRABAL SISTERS - I.S. #90,Missing,Missing,Manhattan
30,32,166,06M136,HARRIET BEECHER STOWE SCHOOL,Missing,Missing,Manhattan
31,33,170,06M164,EDWARD W. STITT SCHOOL-IS #164,Missing,Missing,Manhattan
32,34,177,06M252,INTERMEDIATE SCHOOL 252,Missing,Missing,Manhattan
33,35,178,06M287,HUDSON CLIFFS SCHOOL,40.85631765,-73.9368158741778,Manhattan
34,36,186,07X027,ST. MARY'S PARK,40.81157845,-73.9124210971314,Bronx
35,37,190,07X040,SAW MILL SCHOOL,Missing,Missing,Bronx
36,38,194,07X139,ALEXANDER BURGER I.S. #139,Missing,Missing,Bronx
37,39,195,07X149,ELIJAH D. CLARK - JHS # 149,Missing,Missing,Bronx
38,40,198,07X156,BENJAMIN BANNEKER - P.S. #156,Missing,Missing,Bronx
39,41,202,07X183,PAUL ROBESON I.S. #183,Missing,Missing,Bronx
40,42,203,07X184,RAFAEL CORDERO Y MOLINA IS#184,Missing,Missing,Bronx
41,43,204,07X470,SOUTH BRONX HIGH SCHOOL,Missing,Missing,Bronx
42,44,212,08X052,LUISA DESSUS CRUZ - M.S. #52,Missing,Missing,Bronx
43,45,213,08X060,GEORGE L. GALLEGO SCHOOL,Missing,Missing,Bronx
44,46,218,08X074,HUNTS POINT PENINSULA SCHOOL,Missing,Missing,Bronx
45,47,224,08X120,PAUL L. DUNBAR SCHOOL I.S.#120,Missing,Missing,Bronx
46,48,233,08X164,PS 164,Missing,Missing,Bronx
47,49,234,08X174,EUGENE MALESKA SCHOOL MS #174,Missing,Missing,Bronx
48,50,236,08X192,PIAGENTINI-JONES SCHOOL IS#192,Missing,Missing,Bronx
49,51,238,08X450,ADLAI E. STEVENSON HIGH SCHOOL,40.8209151,-73.8558569,Bronx
50,52,239,08X451,ADLAI E. STEVENSON GED,Missing,Missing,Bronx
51,53,241,08X686,NEW SCHOOL FOR ARTS & SCIENCES,40.8248035,-73.8740365,Bronx
52,54,256,09X082,ALEXANDER MACOMBS - CJHS #82,Missing,Missing,Bronx
53,55,258,09X090,GEORGE MEANY SCHOOL,Missing,Missing,Bronx
54,56,259,09X104,ABRAHAM EHRENFELD,Missing,Missing,Bronx
55,57,267,09X147,DIANA SANDS C.I.S. #147,Missing,Missing,Bronx
56,58,268,09X148,THE DR. CHARLES R. DREW SCHOOL,Missing,Missing,Bronx
57,59,270,09X166,ROBERTO CLEMENTE - C.I.S. #166,Missing,Missing,Bronx
58,60,275,09X235,RAPHAEL HERNANDES BILINGUAL,Missing,Missing,Bronx
59,61,285,10X026,THE BURNSIDE AVENUE,40.8534266,-73.9077258,Bronx
60,62,294,10X079,PS 079,Missing,Missing,Bronx
61,63,302,10X115,ELIZ. BARRETT BROWNING_MS #115,Missing,Missing,Bronx
62,64,304,10X122,MARBLE HILL SCHOOL,Missing,Missing,Bronx
63,65,305,10X137,ANGELO PATRI M.S. #137,Missing,Missing,Bronx
64,66,307,10X143,JOHN PETER TETARD M.S. #143,Missing,Missing,Bronx
65,67,315,10X257,THE CHILDREN'S SCHOOL,Missing,Missing,Bronx
66,68,320,10X410,WILLIAM H. TAFT HIGH SCHOOL,Missing,Missing,Bronx
67,69,321,10X430,WALTON HIGH SCHOOL,40.8701955,-73.8964685,Bronx
68,70,322,10X431,WALTON GED,Missing,Missing,Bronx
69,71,323,10X435,THEODORE ROOSEVELT HIGH SCHOOL,40.8595444,-73.888747,Bronx
70,72,325,10X441,DEWITT CLINTON GED,Missing,Missing,Bronx
71,73,348,11X113,RICHARD R. GREEN - M.S. #113,Missing,Missing,Bronx
