,School Year,Building Code,DBN,Location Name,Location Code,Major N,Oth N,NoCrim N,Prop N,Vio N,TotalCrimes
0,2013-14,K001,15K001,P.S. 001 The Bergen,K001,0.0,2.0,1.0,1.0,0.0,4.0
1,2013-14,K002,17K002,Parkside Preparatory Academy,K002,,,,,,0.0
2,2013-14,K002,75K141,P.S. K141,K141,,,,,,0.0
3,2013-14,K002,84K704      ,Explore Charter School,K704,,,,,,0.0
4,2013-14,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,1.0,5.0,2.0,2.0,4.0,14.0
5,2013-14,K003,13K003,P.S. 003 The Bedford Village,K003,2.0,0.0,0.0,2.0,0.0,4.0
6,2013-14,K005,16K005,P.S. 005 Dr. Ronald Mcnair,K005,1.0,1.0,0.0,2.0,0.0,4.0
7,2013-14,K006,17K006,P.S. 006,K006,0.0,1.0,2.0,0.0,0.0,3.0
8,2013-14,K007,19K007,P.S. 007 Abraham Lincoln,K007,0.0,1.0,0.0,0.0,0.0,1.0
9,2013-14,K008,13K008,P.S. 008 Robert Fulton,K008,0.0,0.0,0.0,0.0,0.0,0.0
10,2013-14,K009,13K009,P.S. 009 Teunis G. Bergen,K009,,,,,,0.0
11,2013-14,K009,84K780      ,Brooklyn East Collegiate Charter School,K780,,,,,,0.0
12,2013-14,K009,,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,,0.0,1.0,1.0,1.0,0.0,3.0
13,2013-14,K010,15K010,"Magnet School of Math, Science and Design Technolo",K010,0.0,1.0,0.0,0.0,1.0,2.0
14,2013-14,K011,13K011,P.S. 011 Purvis J. Behan,K011,1.0,0.0,1.0,1.0,0.0,3.0
15,2013-14,K012,17K484,Ronald Edmonds Learning Center II,K484,,,,,,0.0
16,2013-14,K107,15K107,P.S. 107 John W. Kimball,K107,0.0,1.0,0.0,1.0,0.0,2.0
17,2013-14,K012,17K012,Dr. Jacqueline Peek-Davis School,K012,,,,,,0.0
18,2013-14,K012,,430 HOWARD AVENUE CONSOLIDATED LOCATION,,2.0,3.0,3.0,5.0,0.0,13.0
19,2013-14,K013,19K013,P.S. 013 Roberto Clemente,K013,,,,,,0.0
20,2013-14,K013,84K358      ,Achievement First East New York Charter School,K358,,,,,,0.0
21,2013-14,K013,,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,0.0,1.0,4.0,0.0,1.0,6.0
22,2013-14,K014,22K014,J.H.S. 014 Shell Bank,K014,0.0,4.0,2.0,3.0,0.0,9.0
23,2013-14,K015,15K015,P.S. 015 Patrick F. Daly,K015,0.0,1.0,1.0,1.0,0.0,3.0
24,2013-14,K016,84K355      ,Williamsburg Collegiate Charter School,K355,,,,,,0.0
25,2013-14,K016,14K016,P.S. 016 Leonard Dunkly,K016,,,,,,0.0
26,2013-14,K016,,157 WILSON STREET CONSOLIDATED LOCATION,,0.0,0.0,2.0,0.0,0.0,2.0
27,2013-14,K017,14K017,P.S. 017 Henry D. Woodworth,K017,,,,,,0.0
28,2013-14,K017,14K577,Conselyea Preparatory School,K577,,,,,,0.0
29,2013-14,K017,,208 NORTH  5 STREET CONSOLIDATED LOCATION,,0.0,0.0,1.0,0.0,0.0,1.0
30,2013-14,K018,14K018,P.S. 018 Edward Bush,K018,1.0,2.0,1.0,3.0,0.0,7.0
31,2013-14,K019,14K019,P.S. 019 Roberto Clemente,K019,,,,,,0.0
32,2014-15,K932,07X695,PASSAGES ACADEMY AT BELMONT(BN),X695,0.0,1.0,1.0,0.0,1.0,3.0
33,2013-14,K019,14K414,Brooklyn Arbor Elementary School,K414,,,,,,0.0
34,2013-14,K019,,325 SOUTH  3 STREET CONSOLIDATED LOCATION,,0.0,1.0,1.0,1.0,0.0,3.0
35,2013-14,K020,13K020,P.S. 020 Clinton Hill,K020,,,,,,0.0
36,2013-14,K020,13K492,Academy of Arts and Letters,K492,,,,,,0.0
37,2013-14,K020,,225 ADELPHI STREET CONSOLIDATED LOCATION,,0.0,0.0,1.0,0.0,0.0,1.0
38,2013-14,K021,16K021,P.S. 021 Crispus Attucks,K021,0.0,1.0,1.0,1.0,0.0,3.0
39,2013-14,K022,17K022,P.S. 022,K022,,,,,,0.0
40,2013-14,K022,84K333      ,Explore Exceed Charter School,K333,,,,,,0.0
41,2013-14,K022,17K705,Brooklyn Arts and Science Elementary School,K705,,,,,,0.0
42,2013-14,K022,,443 ST MARKS AVENUE CONSOLIDATED LOCATION,,2.0,0.0,2.0,2.0,0.0,6.0
43,2013-14,K023,14K023,P.S. 023 Carter G. Woodson,K023,,,,,,0.0
44,2013-14,K023,84K701      ,Brooklyn Charter School,K701,,,,,,0.0
45,2013-14,K102,20K102,P.S. 102 The Bayview,K102,0.0,1.0,1.0,1.0,0.0,3.0
46,2013-14,K023,,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,,1.0,0.0,0.0,1.0,0.0,2.0
47,2013-14,K024,15K024,P.S. 024,K024,0.0,0.0,1.0,0.0,0.0,1.0
48,2013-14,Q239,24Q239,P.S. 239,Q239,0.0,0.0,0.0,0.0,0.0,0.0
49,2013-14,K025,16K534,Upper School @ P.S. 25,K534,,,,,,0.0
50,2013-14,K025,16K025,P.S. 025 Eubie Blake School,K025,,,,,,0.0
51,2013-14,K025,,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,0.0,3.0,0.0,0.0,2.0,5.0
52,2013-14,K026,16K026,P.S. 026 Jesse Owens,K026,,,,,,0.0
53,2013-14,K026,16K681,Madiba Prep Middle School,K681,,,,,,0.0
54,2013-14,K026,16K393,Frederick Douglass Academy IV Secondary School,K393,,,,,,0.0
55,2013-14,K026,,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,1.0,0.0,6.0,1.0,0.0,8.0
56,2013-14,K027,84K730      ,Summit Academy Charter School,K730,,,,,,0.0
57,2013-14,K027,15K676,Red Hook Neighborhood School,K676,,,,,,0.0
58,2013-14,K027,,27 HUNTINGTON STREET CONSOLIDATED LOCATION,,0.0,1.0,0.0,1.0,0.0,2.0
59,2013-14,K028,16K028,P.S. 028 The Warren Prep Academy,K028,0.0,0.0,0.0,0.0,0.0,0.0
60,2013-14,K029,15K029,P.S. 029 John M. Harrigan,K029,0.0,0.0,1.0,0.0,0.0,1.0
61,2013-14,K031,14K031,P.S. 031 Samuel F. Dupont,K031,0.0,0.0,0.0,0.0,0.0,0.0
62,2013-14,K032,15K032,P.S. 032 Samuel Mills Sprole,K032,,,,,,0.0
63,2013-14,K032,15K442,M.S. 442 Carroll Gardens School for Innovation,K442,,,,,,0.0
64,2013-14,K032,,317 HOYT STREET CONSOLIDATED LOCATION,,1.0,3.0,1.0,4.0,0.0,9.0
65,2013-14,K033,14K330,The Urban Assembly School for the Urban Environmen,K330,,,,,,0.0
66,2013-14,K033,84K367      ,Success Academy Charter School - Bed-Stuy 1,K367,,,,,,0.0
67,2013-14,M824,02M418,Millennium High School,M418,0.0,0.0,0.0,0.0,0.0,0.0
68,2013-14,K033,75K368,P.S. 368,K368,,,,,,0.0
69,2013-14,K033,14K322,Foundations Academy,K322,,,,,,0.0
70,2013-14,K033,,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,,1.0,7.0,2.0,4.0,3.0,17.0
71,2013-14,K034,14K034,P.S. 034 Oliver H. Perry,K034,1.0,1.0,0.0,2.0,0.0,4.0
72,2013-14,K035,16K035,M.S. 035 Stephen Decatur,K035,,,,,,0.0
73,2013-14,K035,16K628,Brooklyn Brownstone School,K628,,,,,,0.0
74,2013-14,K035,,272 MACDONOUGH STREET CONSOLIDATED LOCATION,,0.0,1.0,2.0,0.0,1.0,4.0
75,2013-14,K038,15K038,P.S. 038 The Pacific,K038,0.0,0.0,1.0,0.0,0.0,1.0
76,2013-14,K039,15K039,P.S. 039 Henry Bristow,K039,0.0,0.0,0.0,0.0,0.0,0.0
77,2013-14,K040,16K040,P.S. 040 George W. Carver,K040,,,,,,0.0
78,2013-14,K040,16K594,Gotham Professional Arts Academy,K594,,,,,,0.0
79,2013-14,K040,,265 RALPH AVENUE CONSOLIDATED LOCATION,,1.0,0.0,0.0,1.0,0.0,2.0
80,2013-14,K041,23K041,P.S. 041 Francis White,K041,0.0,6.0,0.0,0.0,5.0,11.0
81,2013-14,K043,21K098,I.S. 98 Bay Academy,K098,0.0,0.0,1.0,0.0,0.0,1.0
82,2013-14,K044,84K757      ,Unity Prep Charter School,K757,,,,,,0.0
83,2013-14,K044,13K044,P.S. 044 Marcus Garvey,K044,,,,,,0.0
84,2013-14,K044,,432 MONROE STREET CONSOLIDATED LOCATION,,0.0,0.0,1.0,0.0,0.0,1.0
85,2013-14,K045,32K045,P.S./I.S. 045 Horace E. Greene,K045,0.0,1.0,2.0,1.0,0.0,4.0
86,2013-14,K046,13K046,P.S. 046 Edward C. Blum,K046,,,,,,0.0
87,2013-14,K046,13K691,Fort Greene Preparatory Academy,K691,,,,,,0.0
88,2013-14,K046,,100 CLERMONT AVENUE CONSOLIDATED LOCATION,,2.0,1.0,2.0,3.0,0.0,8.0
89,2013-14,K048,20K048,P.S. 048 Mapleton,K048,0.0,0.0,0.0,0.0,0.0,0.0
90,2013-14,K049,14K586,Lyons Community School,K586,,,,,,0.0
91,2013-14,K049,14K454,Green School: An Academy for Environmental Careers,K454,,,,,,0.0
92,2013-14,K049,14K449,"Brooklyn Latin School, The",K449,,,,,,0.0
93,2013-14,K049,,223 GRAHAM AVENUE CONSOLIDATED LOCATION,,1.0,8.0,4.0,4.0,4.0,21.0
94,2013-14,K108,19K108,P.S. 108 Sal Abbracciamento,K108,0.0,0.0,3.0,0.0,0.0,3.0
95,2013-14,K050,84K182      ,Success Academy Charter School - Williamsburg,K182,,,,,,0.0
96,2013-14,K050,14K050,J.H.S. 050 John D. Wells,K050,,,,,,0.0
97,2013-14,K050,,183 SOUTH  3 STREET  CONSOLIDATED LOCATION,,0.0,2.0,1.0,1.0,1.0,5.0
98,2013-14,K051,15K051,M.S. 51 William Alexander,K051,0.0,0.0,0.0,0.0,0.0,0.0
99,2013-14,K052,22K052,P.S. 052 Sheepshead Bay,K052,0.0,1.0,0.0,0.0,1.0,2.0
