School Campus,Arrested,Child in Crisis,Juvenile Report,Mitigated,PINS / Warrant,PINS Warrant,Summons,Total
47 THE AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL(MS),,,1.0,1.0,,,,2.0
ACADEMY OF AMERICAN STUDIES(QN),,1.0,,,,,,1.0
ACADEMY OF URBAN PLANNING(BN) ,,,,2.0,1.0,,3.0,6.0
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS),,1.0,,,,,,1.0
ACORN COMMUNITY HS(BN) ,1.0,,1.0,6.0,,,1.0,9.0
ACORN HS FOR SOCIAL JUSTICE(BN),,,1.0,,,,1.0,2.0
ADLAI STEVENSON HS GED(XE) ,,1.0,,,,,1.0,2.0
ALC - August Martin HS@A. Martin HS (QS),1.0,,,,,,,1.0
ALC-JAMAICA ACADEMY@ALC-Complex (Old PS 182Q - Qns),,1.0,,,,,,1.0
ALC-Royal 180 Academy@ALC-Complex(Old PS182Q-Qns),1.0,,,,,,,1.0
ALFRED SMITH CAREER & TECHNICAL EDUCATION HS(XW)  ,4.0,3.0,,1.0,,,,8.0
ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),1.0,1.0,4.0,1.0,,,,7.0
AP RANDOLPH CAMPUS HS(MN) ,5.0,1.0,2.0,1.0,,,1.0,10.0
ART & DESIGN HS @PS 59M(MS),,1.0,1.0,,,,1.0,3.0
ASTOR COLLEGIATE ACADEMY(XE),2.0,,,,,,1.0,3.0
AUGUST MARTIN HS(QS) ,8.0,2.0,1.0,10.0,,,4.0,25.0
AUTOMOTIVE HS(BN) ,2.0,1.0,2.0,6.0,,,8.0,19.0
AUXILIARY SERVICES@SAINT GEORGE DAY(SI) ,2.0,0.0,,,,,,2.0
AVIATION CAREER & TECHNICAL EDUCATION HS(QN) ,,1.0,,,,,,1.0
Abraham Lincoln HS(BS),10.0,2.0,2.0,4.0,,,1.0,19.0
Academy for Careers in Television and Film(QN),,1.0,,,,,,1.0
Academy for Conservation & the Environment(BS),,,,,,,1.0,1.0
Academy for Environmental Leadership(BN),,,2.0,8.0,,,3.0,13.0
Academy for Health Careers(BN),,,,,,,2.0,2.0
Academy for Social Action(MN),1.0,,,,,,,1.0
Academy for Software Engineering(MS),2.0,,,,,,2.0,4.0
Academy for Young Writers(BN),1.0,1.0,,2.0,,,,4.0
Academy of Innovative Technology(BN),,1.0,,1.0,,,,2.0
Academy of Medical Technology(QS),1.0,,,,,,1.0,2.0
Accion Academy(XW),,,,1.0,,,,1.0
Achievement First Brownsville Charter School(BN),1.0,,,1.0,,,,2.0
Achievement First North Brooklyn Prep Charter School(BN),,1.0,,,,,,1.0
Adlai Stevenson HS(XE) ,2.0,,,1.0,,,22.0,25.0
Alfred E. Smith Campus YABC(XW),,1.0,,,1.0,,,2.0
Alternate Learning Center of Prospect Place(BN),1.0,1.0,1.0,,,,,3.0
Alternative Learning Center@John Jay Campus,1.0,,,1.0,,,1.0,3.0
Ampark Neighborhood Program(XW),,3.0,,,,,,3.0
Andries Hudde JHS(BS),,,2.0,,,,,2.0
Arts & Media Preparatory Academy(BS),,1.0,,,,,,1.0
Aspirations Diploma Plus HS(BN),2.0,8.0,,22.0,,,9.0,41.0
BANANA KELLY HS(XE) ,,1.0,1.0,1.0,,,3.0,6.0
BARD HS EARLY COLLEGE(MS) ,,,,,,,1.0,1.0
BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,,,2.0,,,,,2.0
BAYSIDE HS(QN) ,10.0,,1.0,11.0,,,2.0,24.0
BEACH CHANNEL HS(QS) ,9.0,1.0,,7.0,,,1.0,18.0
BEDFORD ACADEMY HS(BN),1.0,1.0,,,,,,2.0
BENJAMIN BANNEKER ACADEMY(BN),,1.0,,,,,,1.0
BENJAMIN CARDOZO HS(QN) ,12.0,,1.0,1.0,,,6.0,20.0
BOYS AND GIRLS HS(BN) ,2.0,7.0,2.0,18.0,,,5.0,34.0
BRANDEIS YABC(MN),3.0,1.0,1.0,,,,3.0,8.0
BREAD & ROSES INTEGRATED ARTS  HS(MN) ,4.0,,,,,,3.0,7.0
BRONX ACADEMY OF HEALTH CAREERS(XE),1.0,,,3.0,,1.0,1.0,6.0
BRONX AEROSPACE HS(XE),1.0,1.0,2.0,,,,10.0,14.0
BRONX ENGINEERING & TECHNOLOGY ACADEMY(XW),,,,,1.0,,,1.0
BRONX HS FOR LAW & COMMUNITY SERVICE(XW) ,1.0,,,,,,,1.0
BRONX HS FOR THE VISUAL ARTS(XE) ,2.0,0.0,1.0,,,,,3.0
BRONX HS FOR WRITING & COMMUNICATION ARTS(XE),1.0,1.0,2.0,,,,1.0,5.0
BRONX HS OF BUSINESS(XW),2.0,1.0,,,,,,3.0
BRONX HS OF SCIENCE(XW) ,1.0,,2.0,,,,4.0,7.0
BRONX INTERNATIONAL Academy(XE) ,,,,1.0,,,1.0,2.0
BRONX INTERNATIONAL HS(XE),,,,2.0,,,4.0,6.0
BRONX LAB SCHOOL(XE),4.0,1.0,2.0,3.0,,,6.0,16.0
BRONX LEADERSHIP ACADEMY II HS(XW) ,7.0,4.0,5.0,5.0,,1.0,6.0,28.0
BRONX REGIONAL HS(XE) ,5.0,,,,,2.0,19.0,26.0
BRONX SCHOOL FOR LAW GOVERNMENT & JUSTICE(XW) ,,4.0,6.0,1.0,,,1.0,12.0
BRONX SCHOOL OF LAW & FINANCE(XW) ,4.0,,,1.0,,1.0,,6.0
BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,12.0,3.0,1.0,2.0,,,1.0,19.0
BRONX THEATRE HS(XW) ,1.0,,,1.0,,,,2.0
BROOKLYN HS OF THE ARTS(BN) ,3.0,,,3.0,,,2.0,8.0
BROOKLYN INTERNATIONAL HS AT WATERS EDGE(BN) ,,,,6.0,,,,6.0
BROOKLYN PREPARATORY HS(BN) ,,,,3.0,,,5.0,8.0
BROOKLYN SCHOOL FOR GLOBAL STUDIES(BS) ,1.0,,,,,,,1.0
BROOKLYN STUDIO SECONDARY SCHOOL(BS) ,2.0,1.0,1.0,,,,,4.0
BROOKLYN TECHNICAL HS(BN) ,4.0,,,2.0,,,1.0,7.0
BROWNSVILLE ACADEMY HS(BN) ,,,,,,,6.0,6.0
BUSHWICK COMMUNITY HS(BN) ,1.0,,,2.0,,,,3.0
BUSHWICK HS(BN) ,1.0,4.0,1.0,26.0,,,12.0,44.0
BUSHWICK SCHOOL FOR SOCIAL JUSTICE(BN),,1.0,7.0,13.0,,,5.0,26.0
Bard HS Early College II(QN),1.0,,1.0,,,,,2.0
Baruch College Campus HS(MS),,,,1.0,,,,1.0
Battery Park City School(MS),,1.0,,1.0,,,,2.0
Baychester Middle School(XE),3.0,1.0,,,,,,4.0
Beacon High School (MS),,3.0,1.0,,,,,4.0
Bedford Park Elementary School(XW),1.0,,,,,,,1.0
Bedford Stuyvesant Collegiate Charter School(BN),,1.0,1.0,,,,,2.0
Beginning with Children Charter School(BN),,,1.0,,,,,1.0
Benjamin Franklin HS for Finance and Information Technology(QS),1.0,,,3.0,,,,4.0
Brighter Choice Community School(BN),,1.0,,,,,,1.0
Bronx Arena HS(XE),,,,,,,5.0,5.0
Bronx Career & College Preparatory HS(XE),5.0,4.0,2.0,2.0,,,,13.0
Bronx Collegiate Academy(XW)Old Bronx Expeditionary Learning HS,2.0,2.0,1.0,,,,,5.0
Bronx Design & Construction Academy(XW),2.0,,1.0,,,,,3.0
Bronx Early College Academy for Teaching & Learning(XW),1.0,2.0,,,,,1.0,4.0
Bronx Envision Academy(XE),1.0,,,,,,1.0,2.0
Bronx Latin(XE),,3.0,4.0,,,,,7.0
Bronx Leadership Academy HS(XE) ,3.0,,1.0,,,,2.0,6.0
Bronx Preparatory Charter School(XE),,0.0,,,,,,0.0
Bronx River High School (XE),,,1.0,,,,,1.0
Bronx West Borough Office,,,,,,,1.0,1.0
Bronxdale HS(XE),,0.0,,,,,,0.0
Bronxwood Preparatory Academy(XE),2.0,3.0,,1.0,,,2.0,8.0
Brooklyn Bridge Academy(BS),,,,,,,1.0,1.0
Brooklyn Collegiate(BN),,1.0,,15.0,,,,16.0
Brooklyn Frontiers HS(BN),,0.0,,,,,5.0,5.0
Brooklyn Generation School(BS),1.0,,,,,,,1.0
Brooklyn HS for Law & Technology(BN),,0.0,,3.0,,,,3.0
Brooklyn Lab School(BN),,2.0,,6.0,,,1.0,9.0
Brooklyn Theatre Arts HS (BS),,,1.0,,,,3.0,4.0
Bushwick Leaders HS for Academic Excellence(BN),1.0,2.0,,10.0,,,2.0,15.0
CANARSIE HS(BS) ,6.0,,4.0,1.0,,,9.0,20.0
CAREER EDUCATION CENTER(MS) ,,,,,,,9.0,9.0
