School Campus,Arrested,Child in Crisis,Juvenile Report,Mitigated,PINS / Warrant,Summons,mitigated,Total
47 THE AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL(MS),,3.0,,,,1.0,,4.0
ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),,1.0,1.0,,,,,2.0
ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HS(MN) ,,1.0,,,,,,1.0
ACADEMY OF URBAN PLANNING(BN) ,,,1.0,12.0,,,1.0,14.0
ACORN COMMUNITY HS(BN) ,,2.0,1.0,3.0,,1.0,2.0,9.0
ADLAI STEVENSON HS GED(XE) ,,,,1.0,,,,1.0
ALC - August Martin HS@A. Martin HS (QS),,1.0,,1.0,,,,2.0
ALC-JAMAICA ACADEMY@ALC-Complex (Old PS 182Q - Qns),1.0,1.0,,,,,,2.0
ALC-PS 6(XW),,1.0,,,,,,1.0
ALC-RF WAGNER HS@RF WAGNER JR. (QN),1.0,,,,,2.0,,3.0
ALFRED SMITH CAREER & TECHNICAL EDUCATION HS(XW)  ,,1.0,3.0,1.0,,1.0,,6.0
ALL CITY LEADERSHIP SECONDARY SCHOOL(BN) ,,2.0,,,,,1.0,3.0
ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),,2.0,4.0,4.0,,,,10.0
AP RANDOLPH CAMPUS HS(MN) ,3.0,7.0,2.0,3.0,,1.0,,16.0
ART & DESIGN HS @PS 59M(MS),2.0,4.0,4.0,,,,,10.0
AUGUST MARTIN HS(QS) ,3.0,10.0,,15.0,,7.0,2.0,37.0
AUTOMOTIVE HS(BN) ,1.0,1.0,,6.0,,1.0,1.0,10.0
AUXILIARY SERVICES@SAINT GEORGE DAY(SI) ,2.0,1.0,,,,,,3.0
AVIATION CAREER & TECHNICAL EDUCATION HS(QN) ,3.0,2.0,,,,,1.0,6.0
Abraham Lincoln HS(BS),5.0,4.0,2.0,2.0,1.0,2.0,3.0,19.0
Academy for College Preparation & Career Exploration(BS),,1.0,,,,,,1.0
Academy for Environmental Leadership(BN),,,1.0,2.0,,3.0,2.0,8.0
Academy for Health Careers(BN),1.0,,,,,2.0,,3.0
Academy for Personal Leadership & Excellence(XW),,,1.0,,,,,1.0
Academy for Social Action(MN),,,,,,1.0,,1.0
Academy for Software Engineering(MS),,,1.0,,,,,1.0
Academy for Young Writers(BN),,,,1.0,,,,1.0
Academy of Hospitality &Tourism(BS),,,1.0,,,,,1.0
Academy of Innovative Technology(BN),,,,4.0,,2.0,2.0,8.0
Academy of Medical Technology(QS),1.0,,,,,2.0,,3.0
Achievement First Brownsville Charter School(BN),,1.0,,,,,,1.0
Achievement First North Brooklyn Prep Charter School(BN),,1.0,,,,,,1.0
Adlai Stevenson HS(XE) ,3.0,,5.0,3.0,,6.0,1.0,18.0
Alfred E. Smith Campus YABC(XW),,,1.0,,,2.0,,3.0
Alternate Learning Center of Prospect Place(BN),,7.0,1.0,,,,2.0,10.0
Alternative Learning Center@John Jay Campus,1.0,,,,,,,1.0
Alternative Learning Center@Stevenson Campus,,,1.0,,,,,1.0
Ampark Neighborhood Program(XW),,1.0,,,,,,1.0
Andries Hudde JHS(BS),5.0,1.0,7.0,1.0,,,2.0,16.0
Antonia Pantoja Preparatory Academy(XE),1.0,,,,,,,1.0
Arts & Media Preparatory Academy(BS),,1.0,,,,,,1.0
Aspirations Diploma Plus HS(BN),2.0,3.0,,28.0,,2.0,4.0,39.0
BANANA KELLY HS(XE) ,1.0,1.0,,1.0,,1.0,,4.0
BARD HS(MS),,,,,,1.0,,1.0
BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,,1.0,,,,,,1.0
BAYSIDE HS(QN) ,1.0,2.0,1.0,1.0,,,3.0,8.0
BEACH CHANNEL HS(QS) ,5.0,13.0,1.0,4.0,,2.0,4.0,29.0
BEDFORD STUYVESANT PREPARATORY HS(BN) ,1.0,,,1.0,,,,2.0
BELMONT PREPARATORY HS(XW),2.0,,,,,1.0,,3.0
BENJAMIN BANNEKER ACADEMY(BN),1.0,1.0,,,,,,2.0
BENJAMIN CARDOZO HS(QN) ,12.0,1.0,2.0,,,2.0,,17.0
BOYS AND GIRLS HS(BN) ,1.0,1.0,1.0,6.0,,6.0,2.0,17.0
BRANDEIS YABC(MN),1.0,1.0,,1.0,,9.0,1.0,13.0
BREAD & ROSES INTEGRATED ARTS  HS(MN) ,1.0,,1.0,,,,1.0,3.0
BRONX ACADEMY HIGH SCHOOL(XE),,,,,,1.0,,1.0
BRONX ACADEMY OF HEALTH CAREERS(XE),,,,,,3.0,,3.0
BRONX AEROSPACE HS(XE),,1.0,1.0,1.0,,1.0,,4.0
BRONX ENGINEERING & TECHNOLOGY ACADEMY(XW),1.0,,,2.0,,1.0,1.0,5.0
BRONX HS FOR THE VISUAL ARTS(XE) ,4.0,1.0,1.0,1.0,,2.0,1.0,10.0
BRONX HS FOR WRITING & COMMUNICATION ARTS(XE),1.0,,1.0,,,4.0,,6.0
BRONX HS OF BUSINESS(XW),,,,,,1.0,,1.0
BRONX HS OF SCIENCE(XW) ,3.0,1.0,2.0,2.0,,3.0,1.0,12.0
BRONX INTERNATIONAL Academy(XE) ,,,,2.0,,,,2.0
BRONX INTERNATIONAL HS(XE),1.0,,,,,,,1.0
BRONX LAB SCHOOL(XE),1.0,1.0,4.0,,,1.0,,7.0
BRONX LEADERSHIP ACADEMY II HS(XW) ,8.0,4.0,1.0,3.0,,2.0,2.0,20.0
BRONX REGIONAL HS(XE) ,1.0,4.0,2.0,,,13.0,,20.0
BRONX SCHOOL FOR LAW GOVERNMENT & JUSTICE(XW) ,1.0,,4.0,,,2.0,1.0,8.0
BRONX SCHOOL OF LAW & FINANCE(XW) ,,,,2.0,,6.0,,8.0
