,index,MasterIndex,DBN,SCHNAM,Latitude,Longitude
0,0,0,00M801,HUNTER SCHOOL,36.051715,-79.851963
1,3,6,01M022,GUSTAVE STRAUBENMULLER,40.7191048,-73.9800253
2,4,7,01M025,MARTA VALLE,39.0401678,-0.9830848
3,5,9,01M056,CORLEARS - JHS #56,Missing,Missing
4,6,10,01M060,OTTILIA M. BEHA,Missing,Missing
5,7,11,01M061,ANNA HOWARD SHAW,Missing,Missing
6,8,14,01M097,THE MANGIN SCHOOL,16.0388765,120.3673354
7,9,20,01M196,COALITION UMBRELLA SCHOOL,Missing,Missing
8,10,29,02M017,MS 017,-12.0701215,-77.0548946281798
9,11,30,02M026,P.S. 26,10.3211077,123.874600283636
10,12,37,02M070,O. HENRY SCHOOL,40.0120565,-75.0854518
11,13,49,02M190,PAUL REVERE SCHOOL,42.4181525,-70.9950501
12,14,63,02M445,SEWARD PARK HIGH SCHOOL,40.7172511,-73.9894777
13,15,73,02M535,PARK WEST HIGH SCHOOL,40.7658333,-73.9944444
14,16,85,03M044,WILLIAM J. O'SHEA  I.S. #44,Missing,Missing
15,17,91,03M088,WADLEIGH  - M.S. #88,Missing,Missing
16,18,92,03M113,RUTH WHITEHEAD WHALEY,Missing,Missing
17,19,93,03M118,JOAN OF ARC J.H.S. #118,Missing,Missing
18,20,94,03M144,HANS CHRISTIAN ANDERSON,28.30922705,-80.7449429777741
19,21,104,03M207,NORBERT RILLIEUX,Missing,Missing
20,22,109,03M490,"MARTIN LUTHER KING, JR",51.9483589,5.2397562
21,23,119,04M099,JULIA DEBURGOS SCHOOL,Missing,Missing
22,24,120,04M101,ANDREW DRAPER ACADEMY,Missing,Missing
23,25,123,04M109,HOSTOS ACADEMY AT JHS99M,Missing,Missing
24,26,125,04M117,TITO PUENTE EDUC. COMPLEX,Missing,Missing
25,27,126,04M121,ROBERTO CLEMENTE SCHOOL,11.8474056,-86.2421678
26,28,135,05M010,FREDERICK DOUGLAS ACADEMY,35.0354063,-89.9966387
27,29,138,05M043,ADAM CLAYTON POWELL JR ACAD 43,Missing,Missing
28,30,152,05M275,HENRY HIGHLAND GARNET IS #275,Missing,Missing
29,31,161,06M090,MIRABAL SISTERS - I.S. #90,Missing,Missing
30,32,166,06M136,HARRIET BEECHER STOWE SCHOOL,41.9633849,-72.5761877526168
31,33,170,06M164,EDWARD W. STITT SCHOOL-IS #164,Missing,Missing
32,34,177,06M252,INTERMEDIATE SCHOOL 252,40.6578814,-73.9198593
33,35,178,06M287,HUDSON CLIFFS SCHOOL,40.74753535,-74.0330935554298
34,36,186,07X027,ST. MARY'S PARK,-35.0074935,138.579838538824
35,37,190,07X040,SAW MILL SCHOOL,-6.6419722,146.894388288999
36,38,194,07X139,ALEXANDER BURGER I.S. #139,Missing,Missing
37,39,195,07X149,ELIJAH D. CLARK - JHS # 149,Missing,Missing
38,40,198,07X156,BENJAMIN BANNEKER - P.S. #156,Missing,Missing
39,41,202,07X183,PAUL ROBESON I.S. #183,Missing,Missing
40,42,203,07X184,RAFAEL CORDERO Y MOLINA IS#184,Missing,Missing
41,43,204,07X470,SOUTH BRONX HIGH SCHOOL,40.8813165,-73.8873389847276
42,44,212,08X052,LUISA DESSUS CRUZ - M.S. #52,Missing,Missing
43,45,213,08X060,GEORGE L. GALLEGO SCHOOL,Missing,Missing
44,46,218,08X074,HUNTS POINT PENINSULA SCHOOL,Missing,Missing
45,47,224,08X120,PAUL L. DUNBAR SCHOOL I.S.#120,Missing,Missing
46,48,233,08X164,PS 164,37.0176815,-76.3532220470876
47,49,234,08X174,EUGENE MALESKA SCHOOL MS #174,Missing,Missing
48,50,236,08X192,PIAGENTINI-JONES SCHOOL IS#192,Missing,Missing
49,51,238,08X450,ADLAI E. STEVENSON HIGH SCHOOL,42.2016711,-87.9454995877316
50,52,239,08X451,ADLAI E. STEVENSON GED,Missing,Missing
51,53,241,08X686,NEW SCHOOL FOR ARTS & SCIENCES,40.8248035,-73.8740365
